"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2011","Netherlands","Belgium","Total","Total","Number","1,842",""
"2011","Netherlands","Bulgaria","Total","Total","Number","3,326",""
"2011","Netherlands","Czechia","Total","Total","Number","422",""
"2011","Netherlands","Denmark","Total","Total","Number","305",""
"2011","Netherlands","Germany (until 1990 former territory of the FRG)","Total","Total","Number","7,588",""
"2011","Netherlands","Estonia","Total","Total","Number","181",""
"2011","Netherlands","Ireland","Total","Total","Number","607",""
"2011","Netherlands","Greece","Total","Total","Number","2,054",""
"2011","Netherlands","Spain","Total","Total","Number","2,506",""
"2011","Netherlands","France","Total","Total","Number","2,087",""
"2011","Netherlands","Croatia","Total","Total","Number","119",""
"2011","Netherlands","Italy","Total","Total","Number","2,198",""
"2011","Netherlands","Cyprus","Total","Total","Number","67",""
"2011","Netherlands","Latvia","Total","Total","Number","790",""
"2011","Netherlands","Lithuania","Total","Total","Number","991",""
