"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2008","Estonia","Sweden","Total","Total","Number","63",""
"2008","Estonia","United Kingdom","Total","Total","Number","46",""
"2008","Estonia","Norway","Total","Total","Number","11",""
"2008","Estonia","Switzerland","Total","Total","Number","3",""
"2008","Estonia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","0",""
"2008","Estonia","Albania","Total","Total","Number","2",""
"2008","Estonia","Bosnia and Herzegovina","Total","Total","Number","0",""
"2008","Estonia","Serbia","Total","Total","Number","0",""
"2008","Estonia","Africa","Total","Total","Number",":",""
"2008","Estonia","America","Total","Total","Number",":",""
"2008","Estonia","Asia","Total","Total","Number",":",""
"2008","Estonia","Oceania","Total","Total","Number",":",""
"2008","Spain","Total","Total","Total","Number",":",""
"2008","Spain","Reporting country","Total","Total","Number",":",""
"2008","Spain","Foreign country","Total","Total","Number",":",""
"2008","Spain","Unknown","Total","Total","Number",":",""
"2008","Spain","Europe","Total","Total","Number",":",""
"2008","Spain","Belgium","Total","Total","Number",":",""
"2008","Spain","Bulgaria","Total","Total","Number",":",""
"2008","Spain","Czechia","Total","Total","Number",":",""
"2008","Spain","Denmark","Total","Total","Number",":",""
"2008","Spain","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2008","Spain","Estonia","Total","Total","Number",":",""
"2008","Spain","Ireland","Total","Total","Number",":",""
"2008","Spain","Greece","Total","Total","Number",":",""
"2008","Spain","Spain","Total","Total","Number",":",""
"2008","Spain","France","Total","Total","Number",":",""
"2008","Spain","Croatia","Total","Total","Number",":",""
"2008","Spain","Italy","Total","Total","Number",":",""
"2008","Spain","Cyprus","Total","Total","Number",":",""
"2008","Spain","Latvia","Total","Total","Number",":",""
"2008","Spain","Lithuania","Total","Total","Number",":",""
"2008","Spain","Luxembourg","Total","Total","Number",":",""
"2008","Spain","Hungary","Total","Total","Number",":",""
"2008","Spain","Malta","Total","Total","Number",":",""
"2008","Spain","Netherlands","Total","Total","Number",":",""
"2008","Spain","Austria","Total","Total","Number",":",""
"2008","Spain","Poland","Total","Total","Number",":",""
"2008","Spain","Portugal","Total","Total","Number",":",""
"2008","Spain","Romania","Total","Total","Number",":",""
"2008","Spain","Slovenia","Total","Total","Number",":",""
"2008","Spain","Slovakia","Total","Total","Number",":",""
"2008","Spain","Finland","Total","Total","Number",":",""
"2008","Spain","Sweden","Total","Total","Number",":",""
"2008","Spain","United Kingdom","Total","Total","Number",":",""
"2008","Spain","Norway","Total","Total","Number",":",""
"2008","Spain","Switzerland","Total","Total","Number",":",""
"2008","Spain","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2008","Spain","Albania","Total","Total","Number",":",""
"2008","Spain","Bosnia and Herzegovina","Total","Total","Number",":",""
"2008","Spain","Serbia","Total","Total","Number",":",""
"2008","Spain","Africa","Total","Total","Number",":",""
"2008","Spain","America","Total","Total","Number",":",""
"2008","Spain","Asia","Total","Total","Number",":",""
"2008","Spain","Oceania","Total","Total","Number",":",""
"2008","Croatia","Total","Total","Total","Number","16,883","b"
"2008","Croatia","Reporting country","Total","Total","Number","12,409","b"
"2008","Croatia","Foreign country","Total","Total","Number",":",""
"2008","Croatia","Unknown","Total","Total","Number","3","b"
"2008","Croatia","Europe","Total","Total","Number","16,247","b"
"2008","Croatia","Belgium","Total","Total","Number","5","b"
"2008","Croatia","Bulgaria","Total","Total","Number","17","b"
"2008","Croatia","Czechia","Total","Total","Number","31","b"
"2008","Croatia","Denmark","Total","Total","Number","2","b"
"2008","Croatia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","211","b"
"2008","Croatia","Estonia","Total","Total","Number","1","b"
"2008","Croatia","Ireland","Total","Total","Number","2","b"
"2008","Croatia","Greece","Total","Total","Number","2","b"
"2008","Croatia","Spain","Total","Total","Number","13","b"
"2008","Croatia","France","Total","Total","Number","61","b"
"2008","Croatia","Croatia","Total","Total","Number","12,409","b"
"2008","Croatia","Italy","Total","Total","Number","107","b"
"2008","Croatia","Cyprus","Total","Total","Number","0","b"
"2008","Croatia","Latvia","Total","Total","Number","1","b"
"2008","Croatia","Lithuania","Total","Total","Number","0","b"
"2008","Croatia","Luxembourg","Total","Total","Number","0","b"
"2008","Croatia","Hungary","Total","Total","Number","47","b"
"2008","Croatia","Malta","Total","Total","Number","5","b"
"2008","Croatia","Netherlands","Total","Total","Number","20","b"
"2008","Croatia","Austria","Total","Total","Number","92","b"
"2008","Croatia","Poland","Total","Total","Number","38","b"
"2008","Croatia","Portugal","Total","Total","Number","2","b"
"2008","Croatia","Romania","Total","Total","Number","20","b"
"2008","Croatia","Slovenia","Total","Total","Number","140","b"
"2008","Croatia","Slovakia","Total","Total","Number","29","b"
"2008","Croatia","Finland","Total","Total","Number","2","b"
"2008","Croatia","Sweden","Total","Total","Number","16","b"
"2008","Croatia","United Kingdom","Total","Total","Number","55","b"
"2008","Croatia","Norway","Total","Total","Number","1","b"
"2008","Croatia","Switzerland","Total","Total","Number","9","b"
"2008","Croatia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","196","b"
"2008","Croatia","Albania","Total","Total","Number","6","b"
"2008","Croatia","Bosnia and Herzegovina","Total","Total","Number","2,220","b"
"2008","Croatia","Serbia","Total","Total","Number","294","b"
"2008","Croatia","Africa","Total","Total","Number","68","b"
"2008","Croatia","America","Total","Total","Number","176","b"
"2008","Croatia","Asia","Total","Total","Number","193","b"
"2008","Croatia","Oceania","Total","Total","Number","18","b"
"2008","Italy","Total","Total","Total","Number","534,712","b"
"2008","Italy","Reporting country","Total","Total","Number","38,163","b"
"2008","Italy","Foreign country","Total","Total","Number","496,549","b"
"2008","Italy","Unknown","Total","Total","Number","0","b"
"2008","Italy","Europe","Total","Total","Number","353,990","b"
"2008","Italy","Belgium","Total","Total","Number","473","b"
"2008","Italy","Bulgaria","Total","Total","Number","8,436","b"
"2008","Italy","Czechia","Total","Total","Number","620","b"
"2008","Italy","Denmark","Total","Total","Number","198","b"
"2008","Italy","Germany (until 1990 former territory of the FRG)","Total","Total","Number","3,132","b"
"2008","Italy","Estonia","Total","Total","Number","136","b"
"2008","Italy","Ireland","Total","Total","Number","286","b"
"2008","Italy","Greece","Total","Total","Number","413","b"
"2008","Italy","Spain","Total","Total","Number","1,512","b"
"2008","Italy","France","Total","Total","Number","2,497","b"
"2008","Italy","Croatia","Total","Total","Number","852","b"
"2008","Italy","Italy","Total","Total","Number","38,163","b"
"2008","Italy","Cyprus","Total","Total","Number","18","b"
"2008","Italy","Latvia","Total","Total","Number","266","b"
"2008","Italy","Lithuania","Total","Total","Number","720","b"
"2008","Italy","Luxembourg","Total","Total","Number","27","b"
"2008","Italy","Hungary","Total","Total","Number","1,144","b"
"2008","Italy","Malta","Total","Total","Number","77","b"
"2008","Italy","Netherlands","Total","Total","Number","706","b"
"2008","Italy","Austria","Total","Total","Number","457","b"
"2008","Italy","Poland","Total","Total","Number","12,314","b"
"2008","Italy","Portugal","Total","Total","Number","503","b"
"2008","Italy","Romania","Total","Total","Number","174,554","b"
"2008","Italy","Slovenia","Total","Total","Number","314","b"
"2008","Italy","Slovakia","Total","Total","Number","1,274","b"
"2008","Italy","Finland","Total","Total","Number","198","b"
"2008","Italy","Sweden","Total","Total","Number","343","b"
"2008","Italy","United Kingdom","Total","Total","Number","2,244","b"
"2008","Italy","Norway","Total","Total","Number","111","b"
"2008","Italy","Switzerland","Total","Total","Number","567","b"
"2008","Italy","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","5,794","b"
"2008","Italy","Albania","Total","Total","Number","35,715","b"
"2008","Italy","Bosnia and Herzegovina","Total","Total","Number","1,959","b"
"2008","Italy","Serbia","Total","Total","Number","5,581","b"
"2008","Italy","Africa","Total","Total","Number","75,831","b"
"2008","Italy","America","Total","Total","Number","42,635","b"
"2008","Italy","Asia","Total","Total","Number","61,456","b"
"2008","Italy","Oceania","Total","Total","Number","285","b"
"2008","Latvia","Total","Total","Total","Number",":",""
"2008","Latvia","Reporting country","Total","Total","Number",":",""
"2008","Latvia","Foreign country","Total","Total","Number",":",""
"2008","Latvia","Unknown","Total","Total","Number",":",""
"2008","Latvia","Europe","Total","Total","Number",":",""
"2008","Latvia","Belgium","Total","Total","Number",":",""
"2008","Latvia","Bulgaria","Total","Total","Number",":",""
"2008","Latvia","Czechia","Total","Total","Number",":",""
"2008","Latvia","Denmark","Total","Total","Number",":",""
"2008","Latvia","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2008","Latvia","Estonia","Total","Total","Number",":",""
"2008","Latvia","Ireland","Total","Total","Number",":",""
"2008","Latvia","Greece","Total","Total","Number",":",""
"2008","Latvia","Spain","Total","Total","Number",":",""
"2008","Latvia","France","Total","Total","Number",":",""
"2008","Latvia","Croatia","Total","Total","Number",":",""
"2008","Latvia","Italy","Total","Total","Number",":",""
"2008","Latvia","Cyprus","Total","Total","Number",":",""
"2008","Latvia","Latvia","Total","Total","Number",":",""
"2008","Latvia","Lithuania","Total","Total","Number",":",""
"2008","Latvia","Luxembourg","Total","Total","Number",":",""
"2008","Latvia","Hungary","Total","Total","Number",":",""
"2008","Latvia","Malta","Total","Total","Number",":",""
"2008","Latvia","Netherlands","Total","Total","Number",":",""
"2008","Latvia","Austria","Total","Total","Number",":",""
"2008","Latvia","Poland","Total","Total","Number",":",""
"2008","Latvia","Portugal","Total","Total","Number",":",""
"2008","Latvia","Romania","Total","Total","Number",":",""
"2008","Latvia","Slovenia","Total","Total","Number",":",""
"2008","Latvia","Slovakia","Total","Total","Number",":",""
"2008","Latvia","Finland","Total","Total","Number",":",""
"2008","Latvia","Sweden","Total","Total","Number",":",""
"2008","Latvia","United Kingdom","Total","Total","Number",":",""
"2008","Latvia","Norway","Total","Total","Number",":",""
"2008","Latvia","Switzerland","Total","Total","Number",":",""
"2008","Latvia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2008","Latvia","Albania","Total","Total","Number",":",""
"2008","Latvia","Bosnia and Herzegovina","Total","Total","Number",":",""
"2008","Latvia","Serbia","Total","Total","Number",":",""
"2008","Latvia","Africa","Total","Total","Number",":",""
"2008","Latvia","America","Total","Total","Number",":",""
"2008","Latvia","Asia","Total","Total","Number",":",""
"2008","Latvia","Oceania","Total","Total","Number",":",""
"2008","Lithuania","Total","Total","Total","Number","9,297",""
"2008","Lithuania","Reporting country","Total","Total","Number","6,337",""
"2008","Lithuania","Foreign country","Total","Total","Number","2,960",""
"2008","Lithuania","Unknown","Total","Total","Number","0",""
"2008","Lithuania","Europe","Total","Total","Number",":",""
"2008","Lithuania","Belgium","Total","Total","Number","6",""
"2008","Lithuania","Bulgaria","Total","Total","Number","9",""
"2008","Lithuania","Czechia","Total","Total","Number","6",""
"2008","Lithuania","Denmark","Total","Total","Number","9",""
"2008","Lithuania","Germany (until 1990 former territory of the FRG)","Total","Total","Number","60",""
"2008","Lithuania","Estonia","Total","Total","Number","12",""
"2008","Lithuania","Ireland","Total","Total","Number","4",""
"2008","Lithuania","Greece","Total","Total","Number","8",""
"2008","Lithuania","Spain","Total","Total","Number","35",""
"2008","Lithuania","France","Total","Total","Number","27",""
"2008","Lithuania","Croatia","Total","Total","Number","0",""
"2008","Lithuania","Italy","Total","Total","Number","30",""
"2008","Lithuania","Cyprus","Total","Total","Number","0",""
"2008","Lithuania","Latvia","Total","Total","Number","30",""
"2008","Lithuania","Lithuania","Total","Total","Number","6,337",""
"2008","Lithuania","Luxembourg","Total","Total","Number","1",""
"2008","Lithuania","Hungary","Total","Total","Number","2",""
"2008","Lithuania","Malta","Total","Total","Number","0",""
"2008","Lithuania","Netherlands","Total","Total","Number","13",""
"2008","Lithuania","Austria","Total","Total","Number","4",""
"2008","Lithuania","Poland","Total","Total","Number","64",""
"2008","Lithuania","Portugal","Total","Total","Number","19",""
"2008","Lithuania","Romania","Total","Total","Number","3",""
"2008","Lithuania","Slovenia","Total","Total","Number","2",""
"2008","Lithuania","Slovakia","Total","Total","Number","2",""
"2008","Lithuania","Finland","Total","Total","Number","16",""
"2008","Lithuania","Sweden","Total","Total","Number","6",""
"2008","Lithuania","United Kingdom","Total","Total","Number","8",""
"2008","Lithuania","Norway","Total","Total","Number","7",""
"2008","Lithuania","Switzerland","Total","Total","Number","1",""
"2008","Lithuania","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2",""
"2008","Lithuania","Albania","Total","Total","Number","3",""
"2008","Lithuania","Bosnia and Herzegovina","Total","Total","Number","0",""
"2008","Lithuania","Serbia","Total","Total","Number","2",""
"2008","Lithuania","Africa","Total","Total","Number",":",""
"2008","Lithuania","America","Total","Total","Number",":",""
"2008","Lithuania","Asia","Total","Total","Number",":",""
"2008","Lithuania","Oceania","Total","Total","Number",":",""
"2008","Luxembourg","Total","Total","Total","Number","17,758",""
