"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Finland","Total","Age reached during the year","65 years or over","Number","Females","166",""
"2011","Sweden","Total","Age reached during the year","Total","Number","Total","51,179",""
"2011","Sweden","Total","Age reached during the year","Total","Number","Males","27,835",""
"2011","Sweden","Total","Age reached during the year","Total","Number","Females","23,344",""
"2011","Sweden","Total","Age reached during the year","Less than 15 years","Number","Total","7,965",""
"2011","Sweden","Total","Age reached during the year","Less than 15 years","Number","Males","4,057",""
"2011","Sweden","Total","Age reached during the year","Less than 15 years","Number","Females","3,908",""
"2011","Sweden","Total","Age reached during the year","From 15 to 64 years","Number","Total","41,556",""
"2011","Sweden","Total","Age reached during the year","From 15 to 64 years","Number","Males","22,887",""
"2011","Sweden","Total","Age reached during the year","From 15 to 64 years","Number","Females","18,669",""
"2011","Sweden","Total","Age reached during the year","65 years or over","Number","Total","1,658",""
"2011","Sweden","Total","Age reached during the year","65 years or over","Number","Males","891",""
"2011","Sweden","Total","Age reached during the year","65 years or over","Number","Females","767",""
"2011","United Kingdom","Total","Age reached during the year","Total","Number","Total","350,703",""
"2011","United Kingdom","Total","Age reached during the year","Total","Number","Males","197,719",""
"2011","United Kingdom","Total","Age reached during the year","Total","Number","Females","152,984",""
"2011","United Kingdom","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","United Kingdom","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","United Kingdom","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","United Kingdom","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","United Kingdom","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","United Kingdom","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","United Kingdom","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","United Kingdom","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","United Kingdom","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Norway","Total","Age reached during the year","Total","Number","Total","20,349",""
"2011","Norway","Total","Age reached during the year","Total","Number","Males","10,585",""
"2011","Norway","Total","Age reached during the year","Total","Number","Females","9,764",""
"2011","Norway","Total","Age reached during the year","Less than 15 years","Number","Total","3,677",""
"2011","Norway","Total","Age reached during the year","Less than 15 years","Number","Males","1,833",""
"2011","Norway","Total","Age reached during the year","Less than 15 years","Number","Females","1,844",""
"2011","Norway","Total","Age reached during the year","From 15 to 64 years","Number","Total","15,955",""
"2011","Norway","Total","Age reached during the year","From 15 to 64 years","Number","Males","8,343",""
"2011","Norway","Total","Age reached during the year","From 15 to 64 years","Number","Females","7,612",""
"2011","Norway","Total","Age reached during the year","65 years or over","Number","Total","717",""
"2011","Norway","Total","Age reached during the year","65 years or over","Number","Males","409",""
"2011","Norway","Total","Age reached during the year","65 years or over","Number","Females","308",""
"2011","Switzerland","Total","Age reached during the year","Total","Number","Total","96,494","b"
"2011","Switzerland","Total","Age reached during the year","Total","Number","Males","52,699","b"
"2011","Switzerland","Total","Age reached during the year","Total","Number","Females","43,795","b"
