"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","France","Poland","Age reached during the year","Total","Number","Total",":",""
"2011","France","Portugal","Age reached during the year","Total","Number","Total",":",""
"2011","France","Romania","Age reached during the year","Total","Number","Total",":",""
"2011","France","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Finland","Age reached during the year","Total","Number","Total",":",""
"2011","France","Sweden","Age reached during the year","Total","Number","Total",":",""
"2011","France","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2011","France","Norway","Age reached during the year","Total","Number","Total",":",""
"2011","France","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","Total","Number","Total","12,699",""
"2011","Croatia","Belgium","Age reached during the year","Total","Number","Total","22",""
"2011","Croatia","Bulgaria","Age reached during the year","Total","Number","Total","21",""
"2011","Croatia","Czechia","Age reached during the year","Total","Number","Total","43",""
"2011","Croatia","Denmark","Age reached during the year","Total","Number","Total","11",""
"2011","Croatia","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","1,061",""
"2011","Croatia","Estonia","Age reached during the year","Total","Number","Total","0",""
"2011","Croatia","Ireland","Age reached during the year","Total","Number","Total","14",""
"2011","Croatia","Greece","Age reached during the year","Total","Number","Total","1",""
"2011","Croatia","Spain","Age reached during the year","Total","Number","Total","28",""
"2011","Croatia","France","Age reached during the year","Total","Number","Total","104",""
"2011","Croatia","Croatia","Age reached during the year","Total","Number","Total","0",""
"2011","Croatia","Italy","Age reached during the year","Total","Number","Total","310",""
"2011","Croatia","Cyprus","Age reached during the year","Total","Number","Total","0",""
"2011","Croatia","Latvia","Age reached during the year","Total","Number","Total","0",""
"2011","Croatia","Lithuania","Age reached during the year","Total","Number","Total","1",""
"2011","Croatia","Luxembourg","Age reached during the year","Total","Number","Total","2",""
"2011","Croatia","Hungary","Age reached during the year","Total","Number","Total","55",""
"2011","Croatia","Netherlands","Age reached during the year","Total","Number","Total","68",""
"2011","Croatia","Austria","Age reached during the year","Total","Number","Total","480",""
"2011","Croatia","Poland","Age reached during the year","Total","Number","Total","18",""
"2011","Croatia","Portugal","Age reached during the year","Total","Number","Total","3",""
"2011","Croatia","Romania","Age reached during the year","Total","Number","Total","29",""
"2011","Croatia","Slovenia","Age reached during the year","Total","Number","Total","237",""
"2011","Croatia","Slovakia","Age reached during the year","Total","Number","Total","18",""
"2011","Croatia","Finland","Age reached during the year","Total","Number","Total","5",""
"2011","Croatia","Sweden","Age reached during the year","Total","Number","Total","50",""
"2011","Croatia","United Kingdom","Age reached during the year","Total","Number","Total","51",""
"2011","Croatia","Norway","Age reached during the year","Total","Number","Total","18",""
"2011","Croatia","Switzerland","Age reached during the year","Total","Number","Total","153",""
"2011","Italy","Total","Age reached during the year","Total","Number","Total","82,461",""
"2011","Italy","Belgium","Age reached during the year","Total","Number","Total","1,994",""
"2011","Italy","Bulgaria","Age reached during the year","Total","Number","Total","465",""
"2011","Italy","Czechia","Age reached during the year","Total","Number","Total","314",""
"2011","Italy","Denmark","Age reached during the year","Total","Number","Total","308",""
"2011","Italy","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","8,362",""
"2011","Italy","Estonia","Age reached during the year","Total","Number","Total","34",""
"2011","Italy","Ireland","Age reached during the year","Total","Number","Total","663",""
"2011","Italy","Greece","Age reached during the year","Total","Number","Total","266",""
"2011","Italy","Spain","Age reached during the year","Total","Number","Total","3,466",""
"2011","Italy","France","Age reached during the year","Total","Number","Total","6,188",""
"2011","Italy","Croatia","Age reached during the year","Total","Number","Total","351",""
"2011","Italy","Italy","Age reached during the year","Total","Number","Total","0",""
"2011","Italy","Cyprus","Age reached during the year","Total","Number","Total","30",""
"2011","Italy","Latvia","Age reached during the year","Total","Number","Total","22",""
"2011","Italy","Lithuania","Age reached during the year","Total","Number","Total","46",""
"2011","Italy","Luxembourg","Age reached during the year","Total","Number","Total","476",""
"2011","Italy","Hungary","Age reached during the year","Total","Number","Total","306",""
"2011","Italy","Netherlands","Age reached during the year","Total","Number","Total","1,140",""
"2011","Italy","Austria","Age reached during the year","Total","Number","Total","1,174",""
"2011","Italy","Poland","Age reached during the year","Total","Number","Total","1,625",""
"2011","Italy","Portugal","Age reached during the year","Total","Number","Total","263",""
"2011","Italy","Romania","Age reached during the year","Total","Number","Total","7,702",""
"2011","Italy","Slovenia","Age reached during the year","Total","Number","Total","254",""
"2011","Italy","Slovakia","Age reached during the year","Total","Number","Total","399",""
"2011","Italy","Finland","Age reached during the year","Total","Number","Total","168",""
"2011","Italy","Sweden","Age reached during the year","Total","Number","Total","422",""
"2011","Italy","United Kingdom","Age reached during the year","Total","Number","Total","6,148",""
"2011","Italy","Norway","Age reached during the year","Total","Number","Total","210",""
"2011","Italy","Switzerland","Age reached during the year","Total","Number","Total","6,298",""
