"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Denmark","Asia","Age reached during the year","Total","Number","Total","4,088",""
"2007","Denmark","Oceania","Age reached during the year","Total","Number","Total","1,058",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","636,854",""
"2007","Germany (until 1990 former territory of the FRG)","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Germany (until 1990 former territory of the FRG)","Belgium","Age reached during the year","Total","Number","Total","4,716",""
"2007","Germany (until 1990 former territory of the FRG)","Bulgaria","Age reached during the year","Total","Number","Total","8,382",""
"2007","Germany (until 1990 former territory of the FRG)","Czechia","Age reached during the year","Total","Number","Total","6,636",""
"2007","Germany (until 1990 former territory of the FRG)","Denmark","Age reached during the year","Total","Number","Total","4,014",""
"2007","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","0",""
"2007","Germany (until 1990 former territory of the FRG)","Estonia","Age reached during the year","Total","Number","Total","526",""
"2007","Germany (until 1990 former territory of the FRG)","Ireland","Age reached during the year","Total","Number","Total","2,538",""
"2007","Germany (until 1990 former territory of the FRG)","Greece","Age reached during the year","Total","Number","Total","15,599",""
"2007","Germany (until 1990 former territory of the FRG)","Spain","Age reached during the year","Total","Number","Total","17,123",""
"2007","Germany (until 1990 former territory of the FRG)","France","Age reached during the year","Total","Number","Total","17,912",""
"2007","Germany (until 1990 former territory of the FRG)","Croatia","Age reached during the year","Total","Number","Total","10,610",""
"2007","Germany (until 1990 former territory of the FRG)","Italy","Age reached during the year","Total","Number","Total","25,413",""
"2007","Germany (until 1990 former territory of the FRG)","Cyprus","Age reached during the year","Total","Number","Total","278",""
"2007","Germany (until 1990 former territory of the FRG)","Latvia","Age reached during the year","Total","Number","Total","1,439",""
"2007","Germany (until 1990 former territory of the FRG)","Lithuania","Age reached during the year","Total","Number","Total","2,917",""
"2007","Germany (until 1990 former territory of the FRG)","Luxembourg","Age reached during the year","Total","Number","Total","2,002",""
"2007","Germany (until 1990 former territory of the FRG)","Hungary","Age reached during the year","Total","Number","Total","17,732",""
"2007","Germany (until 1990 former territory of the FRG)","Malta","Age reached during the year","Total","Number","Total","120",""
"2007","Germany (until 1990 former territory of the FRG)","Netherlands","Age reached during the year","Total","Number","Total","10,071",""
"2007","Germany (until 1990 former territory of the FRG)","Austria","Age reached during the year","Total","Number","Total","20,152",""
"2007","Germany (until 1990 former territory of the FRG)","Poland","Age reached during the year","Total","Number","Total","120,791",""
"2007","Germany (until 1990 former territory of the FRG)","Portugal","Age reached during the year","Total","Number","Total","6,988",""
"2007","Germany (until 1990 former territory of the FRG)","Romania","Age reached during the year","Total","Number","Total","24,054",""
"2007","Germany (until 1990 former territory of the FRG)","Slovenia","Age reached during the year","Total","Number","Total","1,457",""
"2007","Germany (until 1990 former territory of the FRG)","Slovakia","Age reached during the year","Total","Number","Total","8,472",""
"2007","Germany (until 1990 former territory of the FRG)","Finland","Age reached during the year","Total","Number","Total","2,172",""
"2007","Germany (until 1990 former territory of the FRG)","Sweden","Age reached during the year","Total","Number","Total","4,509",""
"2007","Germany (until 1990 former territory of the FRG)","United Kingdom","Age reached during the year","Total","Number","Total","17,942",""
"2007","Germany (until 1990 former territory of the FRG)","Norway","Age reached during the year","Total","Number","Total","3,346",""
"2007","Germany (until 1990 former territory of the FRG)","Switzerland","Age reached during the year","Total","Number","Total","28,237",""
"2007","Germany (until 1990 former territory of the FRG)","Turkey","Age reached during the year","Total","Number","Total","32,172",""
"2007","Germany (until 1990 former territory of the FRG)","Serbia","Age reached during the year","Total","Number","Total","8,866",""
"2007","Germany (until 1990 former territory of the FRG)","Russia","Age reached during the year","Total","Number","Total","12,922",""
"2007","Germany (until 1990 former territory of the FRG)","Africa","Age reached during the year","Total","Number","Total","19,896",""
"2007","Germany (until 1990 former territory of the FRG)","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Germany (until 1990 former territory of the FRG)","United States","Age reached during the year","Total","Number","Total","30,602",""
"2007","Germany (until 1990 former territory of the FRG)","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Germany (until 1990 former territory of the FRG)","South America","Age reached during the year","Total","Number","Total",":",""
"2007","Germany (until 1990 former territory of the FRG)","Asia","Age reached during the year","Total","Number","Total","69,836",""
"2007","Germany (until 1990 former territory of the FRG)","Oceania","Age reached during the year","Total","Number","Total","6,762",""
"2007","Estonia","Total","Age reached during the year","Total","Number","Total","4,384",""
"2007","Estonia","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Estonia","Belgium","Age reached during the year","Total","Number","Total","22",""
"2007","Estonia","Bulgaria","Age reached during the year","Total","Number","Total","5",""
"2007","Estonia","Czechia","Age reached during the year","Total","Number","Total","9",""
"2007","Estonia","Denmark","Age reached during the year","Total","Number","Total","13",""
"2007","Estonia","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","206",""
"2007","Estonia","Estonia","Age reached during the year","Total","Number","Total","0",""
"2007","Estonia","Ireland","Age reached during the year","Total","Number","Total","36",""
"2007","Estonia","Greece","Age reached during the year","Total","Number","Total","2",""
"2007","Estonia","Spain","Age reached during the year","Total","Number","Total","28",""
"2007","Estonia","France","Age reached during the year","Total","Number","Total","38",""
"2007","Estonia","Croatia","Age reached during the year","Total","Number","Total","0",""
"2007","Estonia","Italy","Age reached during the year","Total","Number","Total","24",""
"2007","Estonia","Cyprus","Age reached during the year","Total","Number","Total","1",""
"2007","Estonia","Latvia","Age reached during the year","Total","Number","Total","10",""
"2007","Estonia","Lithuania","Age reached during the year","Total","Number","Total","11",""
"2007","Estonia","Luxembourg","Age reached during the year","Total","Number","Total","34",""
"2007","Estonia","Hungary","Age reached during the year","Total","Number","Total","2",""
"2007","Estonia","Malta","Age reached during the year","Total","Number","Total","0",""
"2007","Estonia","Netherlands","Age reached during the year","Total","Number","Total","34",""
"2007","Estonia","Austria","Age reached during the year","Total","Number","Total","9",""
"2007","Estonia","Poland","Age reached during the year","Total","Number","Total","11",""
"2007","Estonia","Portugal","Age reached during the year","Total","Number","Total","8",""
"2007","Estonia","Romania","Age reached during the year","Total","Number","Total","3",""
"2007","Estonia","Slovenia","Age reached during the year","Total","Number","Total","0",""
"2007","Estonia","Slovakia","Age reached during the year","Total","Number","Total","4",""
"2007","Estonia","Finland","Age reached during the year","Total","Number","Total","3,163",""
"2007","Estonia","Sweden","Age reached during the year","Total","Number","Total","108",""
